OBJECTID,sovereignt,type,name,name_long,abbrev,formal_en,region_wb,LITERACY_RT_TOTAL,TOTAL_YEAR,LITERACY_RT_FEMALE,FEMALE_YEAR,LITERACY_RT_MALE,MALE_YEAR,TOTAL_YEAR_LBL
253,Netherlands,Country,Aruba,Aruba,Aruba,Aruba,Latin America & Caribbean,96.822639465332,2010,96.7197799682617,2010,96.9405288696289,2010,(2010)
254,Afghanistan,Sovereign country,Afghanistan,Afghanistan,Afg.,Islamic State of Afghanistan,South Asia,31.741117477417,2011,17.6120624542236,2011,45.4170989990234,2011,(2011)
255,Angola,Sovereign country,Angola,Angola,Ang.,People's Republic of Angola,Sub-Saharan Africa,70.7784118652344,2013,59.6714286804199,2013,82.3232727050781,2013,(2013)
256,United Kingdom,Dependency,Anguilla,Anguilla,Ang., ,Latin America & Caribbean,95,,,,,,
257,Albania,Sovereign country,Albania,Albania,Alb.,Republic of Albania,Europe & Central Asia,97.2469635009766,2012,96.1360702514648,2012,98.3526077270508,2012,(2012)
258,Finland,Country,Aland,Aland Islands,Aland,Åland Islands,Europe & Central Asia,,,,,,,
259,Andorra,Sovereign country,Andorra,Andorra,And.,Principality of Andorra,Europe & Central Asia,100,,,,,,
260,United Arab Emirates,Sovereign country,United Arab Emirates,United Arab Emirates,U.A.E.,United Arab Emirates,Middle East & North Africa,90.03384399,2005,91.4747467,2005,89.48210144,2005,(2005)
261,Argentina,Sovereign country,Argentina,Argentina,Arg.,Argentine Republic,Latin America & Caribbean,97.973762512207,2013,98.0118637084961,2013,97.9329833984375,2013,(2013)
262,Armenia,Sovereign country,Armenia,Armenia,Arm.,Republic of Armenia,Europe & Central Asia,99.7444152832031,2011,99.6903533935547,2011,99.8060836791992,2011,(2011)
263,United States of America,Dependency,American Samoa,American Samoa,Am. Samoa,American Samoa,East Asia & Pacific,97,,,,,,
264,Antarctica,Indeterminate,Antarctica,Antarctica,Ant., ,Antarctica,,,,,,,
265,Australia,Dependency,Ashmore and Cartier Is.,Ashmore and Cartier Islands,A.C.Is.,Territory of Ashmore and Cartier Islands,East Asia & Pacific,,,,,,,
266,France,Dependency,Fr. S. Antarctic Lands,French Southern and Antarctic Lands,Fr. S.A.L.,Territory of the French Southern and Antarctic Lands,Sub-Saharan Africa,,,,,,,
267,Antigua and Barbuda,Sovereign country,Antigua and Barb.,Antigua and Barbuda,Ant.B.,Antigua and Barbuda,Latin America & Caribbean,98.9499969482422,2013,99.4199981689453,2013,98.4000015258789,2013,(2013)
268,Australia,Country,Australia,Australia,Auz.,Commonwealth of Australia,East Asia & Pacific,99,,,,,,
269,Austria,Sovereign country,Austria,Austria,Aust.,Republic of Austria,Europe & Central Asia,98,,,,,,
270,Azerbaijan,Sovereign country,Azerbaijan,Azerbaijan,Aze.,Republic of Azerbaijan,Europe & Central Asia,99.7889862060547,2014,99.7196578979492,2014,99.8620147705078,2014,(2014)
